Fonte,diretta.it (Flashscore) — FA Cup 2025/2026
Partite,63 — dal 3° turno (09.01.2026 Milton Keynes-Oxford Utd) alla finale del 16.05.2026 (Chelsea-Manchester City)
Turni saltati,"1° e 2° turno (60 partite, 31.10-08.12.2025): solo club di National League o inferiore, il Championship entra al 3° turno"
Struttura,"32 partite al 3° turno, 16 al 4°, 8 al 5°, 4 quarti, 2 semifinali, 1 finale"
Nota tecnica,"La pagina risultati della FA Cup su diretta.it non carica l'elenco partite (resta vuota). L'elenco e stato ricostruito dai calendari delle singole squadre di Premier League e Championship e dai loro avversari, con controllo incrociato: il totale si e stabilizzato a 63 partite anche allargando la ricerca a 104 club."
Risultato,"Colonne separate per 90 minuti, dopo i supplementari e rigori. La colonna ""Risultato (esteso)"" non somma mai i rigori."
Ai rigori,9 partite su 63
Ai supplementari,14 partite
Formazioni,"Titolari e panchina con numero di maglia, ruolo, modulo e rating; minuto di entrata/uscita"
Eventi,"Gol, autogol, assist, cartellini, sostituzioni e sequenza completa dei rigori, con minuto e punteggio progressivo"
Statistiche individuali,VERIFICATE PARTITA PER PARTITA: disponibili per 63 partite su 63 (103 metriche)
Estrazione,31 luglio 2026
