Fonte,diretta.it (Flashscore) — Carabao Cup / EFL Cup 2025/2026
Partite,91 — dal 12.08.2025 (Accrington-Peterborough) alla finale
Turni saltati,"Turno preliminare: 2 partite escluse — 29.07.2025 Barnet-Newport e 05.08.2025 Accrington-Oldham (club di National League, Championship non ancora coinvolta)"
Attenzione ai nomi dei turni,"Sul sito quelle due partite preliminari erano etichettate ""FINALE"": il taglio e stato fatto sulla data, non sul nome del turno."
Risultato,"Colonne separate per 90 minuti, dopo i supplementari e rigori. La colonna ""Risultato (esteso)"" non somma mai i rigori."
Ai rigori,19 partite su 91
Supplementari,Nessuna partita: in Carabao Cup dai turni eliminatori si va direttamente ai rigori.
Formazioni,"Titolari e panchina con numero di maglia, ruolo, modulo e rating; minuto di entrata/uscita"
Eventi,"Gol, autogol, assist, cartellini, sostituzioni e sequenza completa dei rigori, con minuto e punteggio progressivo"
Statistiche individuali,"VERIFICATE PARTITA PER PARTITA: disponibili per 91 partite su 91 (103 metriche). Colonna ""Stat giocatori disponibili"" nel foglio Partite."
Estrazione,31 luglio 2026
